phrasal	meaning	significado	phrase	frase	position
heat up	Make food hot.	Fazer comida quente.	He heated the soup up in the microwave.	Ele aqueceu a sopa no microondas.	3577
heat up	To make something warmer or cause a rise in temperature.	Tornar algo mais quente ou causar um aumento de temperatura.	He heated the soup up in the microwave.	Ele aqueceu a sopa no microondas.	3578
help out	To assist people with something.	Ajudar as pessoas com alguma coisa.	She really helped me out when I was going through my divorce.	Ele aqueceu a sopa no microondas.	3579
help out	Give assistance.	Dar assistência.	She really helped me out when I was going through my divorce.	Ele aqueceu a sopa no microondas.	3580
help out	To assist people with something.	Ajudar as pessoas com alguma coisa.	She really helped me out when I was going through my divorce.	Ele aqueceu a sopa no microondas.	3581
hide away	Put something in a place where it won't be found.	Colocar algo em um lugar onde não seja encontrado.	They hid the money away in secret bank accounts.	Eles esconderam o dinheiro em contas bancárias secretas.	3582
hide away	Go or stay somewhere where you won't be found or away from people.	Ir ou ficar em algum lugar onde você não será encontrado ou longe das pessoas.	I'm renting a cottage where I can hide away for the summer.	estou alugando uma casa onde eu posso me esconder para o verão.	3583
hide out	Go or stay somewhere to avoid being caught or found.	Ir ou ficar em algum lugar para evitar ser pego ou encontrado.	The police think he's hiding out in the woods.	A polícia acha que ele está se escondendo na floresta.	3584
hinge on	Depend very much or completely.	Depender muito ou completamente.	Everything hinges on the results of the negotiations; if they go badly, we'll be in real trouble.	A polícia acha que ele está se escondendo na floresta.	3585
hinge on	Be an essential point for the development of a story.	Ser um ponto essencial para o desenvolvimento de uma história.	The film hinges on his not being recognised when he's in disguise.	O filme depende de ele não ser reconhecido quando ele está disfarçado.	3586
hinge upon	Depend very much or completely.	Depender muito ou completamente.	Everything hinges upon the results of the negotiations; if they go badly, we'll be in real trouble.	Tudo depende dos resultados das negociações; Se eles vão mal, estaremos em problemas reais.	3587
hit back	Attack or criticise.	Atacar ou criticar.	The president hit back at her critics in a speech last night.	O presidente bateu em seus críticos em um discurso na noite passada.	3588
hit for	Get someone to pay or donate money.	Pegar alguém para pagar ou doar dinheiro.	They hit the sponsors for a lot of money.	O presidente bateu em seus críticos em um discurso na noite passada.	3589
hit it off	Have a good relationship from the first time you meet a person.	Ter um bom relacionamento desde a primeira vez que você conhece uma pessoa.	We hit it off immediately and became firm friends.	Nós batemos imediatamente e nos tornamos amigos firmes.	3590
hit it off with	Like someone from the first time you meet them.	Gostar de alguém desde a primeira vez que você os conhece.	I hit it off with her immediately.	bati com ela imediatamente.	3591
hit on	To suddenly have a solution to a problem or an interesting idea.	De repente, ter uma solução para um problema ou uma ideia interessante.	I suddenly hit on the solution.	bati com ela imediatamente.	3592
hit on	Have an idea.	Ter uma ideia.	I suddenly hit on the solution.	bati com ela imediatamente.	3593
hit on	Talk to someone to try to attract them sexually.	Falar com alguém para tentar atrair sexualmente.	She hit on him at the party and they went back to her house.	Ela bateu nele na festa e voltou para a casa dela.	3594
hit on	Ask for money.	Pedir dinheiro.	a beggar hit on me when I left the restaurant.	Um mendigo bateu em mim quando saí do restaurante.	3595
hit on	To suddenly have a solution to a problem or an interesting idea.	De repente, ter uma solução para um problema ou uma ideia interessante.	I suddenly hit on the solution.	bati com ela imediatamente.	3596
hit out at	Respond angrily to criticism.	Responder com raiva a críticas.	The government hit out at the media for their negativity.	Um mendigo bateu em mim quando saí do restaurante.	3597
hit up	Inject drugs.	Injetar drogas.	She's been hitting up for years.	Ela está batendo por anos.	3598
hit up	Ask someone for some money.	Perguntar a alguém por algum dinheiro.	He always tries to hit me up for money when we meet.	Ele sempre tenta me bater em dinheiro quando nos encontrarmos.	3599
hit up on	Inject drugs.	Injetar drogas.	He's been hitting up on heroin for years.	Ele está batendo em heroína por anos.	3600
hit upon	Have an idea.	Ter uma ideia.	It took us ages to hit upon a solution.	Levou-nos envelhas para atingir uma solução.	3601
hit upon	Try to attract someone sexually.	Tentar atrair alguém sexualmente.	He tried to hit upon her at the pub.	Ele tentou bater nela no pub.	3602
hit with	Surprise someone with some information or news.	Surpreender alguém com algumas informações ou notícias.	He hit me with the details of their demands.	Ele tentou bater nela no pub.	3603
hive off	Separate part of a company or service, often by selling it.	separar parte de uma empresa ou serviço, muitas vezes vendendo-a.	They hived off the retail operations.	Eles salvaram as operações de varejo.	3604
hold against	When you don’t forgive or have little respect for someone because of something they did.	Quando você não perdoa ou tem pouco respeito por alguém por causa de algo que eles fizeram.	He was very rude, but I won't hold it against him.	Ele era muito rude, mas não vou segurá-lo contra ele.	3605
hold against	Have a grudge against someone, or little respect.	Ter rancor contra alguém, ou pouco respeito.	He was very rude, but I won't hold it against him.	Ele era muito rude, mas não vou segurá-lo contra ele.	3606
hold against	When you don’t forgive or have little respect for someone because of something they did.	Quando você não perdoa ou tem pouco respeito por alguém por causa de algo que eles fizeram.	He was very rude, but I won't hold it against him.	Ele era muito rude, mas não vou segurá-lo contra ele.	3607
hold back	prevent from doing/going	impedir de fazer / ir	I had to hold my dog back because there was a cat in the park.	Eu tive que segurar meu cachorro porque havia um gato no parque.	3608
hold back	hide an emotion	esconder uma emoção	Jamie held back his tears at his grandfather's funeral.	Jamie conteve as lágrimas no funeral de seu avô.	3609
hold back	To stop yourself from doing or saying something	parar de fazer ou dizer algo	Amy has a great voice, but whenever she's singing in public, she feels shy and holds back.	Amy tem uma ótima voz, mas sempre que ela está cantando em público, ela se sente tímida e retém.	3610
hold back	Not show emotion.	Não mostrar emoção.	It was really hard to hold back the tears.	Foi muito difícil segurar as lágrimas.	3611
hold back	Prevent something moving forwards or progressing.	Impedir que algo se mova para frente ou progredindo.	Lack of funding held the project back.	Foi muito difícil segurar as lágrimas.	3612
hold back	Not disclose information or make it public.	Não divulgar informações ou torná-lo público.	The government held back the findings of the report for fear of alienating voters.	O governo retinha as conclusões do relatório por medo de alienar eleitores.	3613
hold back	Act with reserve; to contain one's full measure or power	Agir com reserva; conter toda a medida ou poder de alguém			3614
hold back	Contain; stop	Conter; parar			3615
hold back	Delay the progress of, especially in school	Atrasar o progresso, especialmente na escola			3616
hold back from	Not allow yourself to do something.	Não permitir fazer alguma coisa.	I had to hold back from losing my temper with them.	tive que me retirar de perder a paciência com eles.	3617
hold down	Keep a job.	Manter um emprego.	He's so unreliable that he can never hold down a job for more than a couple of months.	Ele não é tão confiável que ele nunca pode segurar um emprego por mais de alguns meses.	3618
hold down	Stop someone or something from moving.	Parar alguém ou algo de se mover.	It took four of us to hold him down and stop the fight.	Ele não é tão confiável que ele nunca pode segurar um emprego por mais de alguns meses.	3619
hold down	Restrain; to check	Conter; checar			3620
hold down	Continue, to hold and to manage well	Continuar, segurar e administrar bem			3621
hold forth	State your opinions about something, especially when talking for a long time and boringly.	Indicar suas opiniões sobre algo, especialmente quando se fala por muito tempo e de forma entedeante.	The manager held forth on the topic for about twenty minutes.	O gerente realizou no tópico por cerca de vinte minutos.	3622
hold in	Restrain oneself	Conter-se			3623
hold off	To delay something.	Atrasar alguma coisa.	The rain held off until we'd got back home.	A chuva se destacou até que voltássemos para casa.	3624
